firm,stock,weight_percentage,investment_style,sector_bias
Fidelity,PG,1.33,active_equity,growth
Fidelity,DE,0.91,active_equity,growth
Fidelity,ABT,0.63,active_equity,growth
Fidelity,AXP,1.56,active_equity,growth
Fidelity,C,0.46,active_equity,growth
Fidelity,V,0.22,active_equity,growth
Fidelity,TSLA,1.04,active_equity,growth
Fidelity,GILD,0.34,active_equity,growth
Fidelity,VZ,3.22,active_equity,growth
Fidelity,GS,0.34,active_equity,growth
Fidelity,TGT,0.26,active_equity,growth
Fidelity,VRTX,0.97,active_equity,growth
Fidelity,AAPL,3.32,active_equity,growth
Fidelity,DFS,0.23,active_equity,growth
Fidelity,INTC,0.69,active_equity,growth
Fidelity,WFC,0.22,active_equity,growth
Fidelity,BA,0.81,active_equity,growth
Fidelity,NVDA,0.6,active_equity,growth
Fidelity,COF,1.41,active_equity,growth
Fidelity,CSCO,0.35,active_equity,growth
Fidelity,NFLX,10.48,active_equity,growth
Fidelity,JPM,1.06,active_equity,growth
Fidelity,ADBE,2.83,active_equity,growth
Fidelity,PNC,0.29,active_equity,growth
Fidelity,SLB,0.11,active_equity,growth
Fidelity,MCD,0.13,active_equity,growth
Fidelity,MRNA,1.09,active_equity,growth
Fidelity,UNH,0.64,active_equity,growth
Fidelity,NOW,1.33,active_equity,growth
Fidelity,TMUS,3.08,active_equity,growth
Fidelity,COST,1.91,active_equity,growth
Fidelity,BLK,2.73,active_equity,growth
Fidelity,MA,2.73,active_equity,growth
Fidelity,CRM,0.18,active_equity,growth
Fidelity,MSFT,1.46,active_equity,growth
Fidelity,AMGN,1.14,active_equity,growth
Fidelity,REGN,2.61,active_equity,growth
Fidelity,GOOGL,1.25,active_equity,growth
Fidelity,RTX,0.89,active_equity,growth
Fidelity,CVS,0.71,active_equity,growth
Fidelity,HON,1.4,active_equity,growth
Fidelity,MRK,3.18,active_equity,growth
Fidelity,MS,1.01,active_equity,growth
Fidelity,AMD,5.96,active_equity,growth
Fidelity,T,0.37,active_equity,growth
Fidelity,AMZN,1.45,active_equity,growth
Fidelity,GE,2.29,active_equity,growth
Fidelity,SCHW,1.41,active_equity,growth
Fidelity,KO,0.38,active_equity,growth
Fidelity,TXN,0.19,active_equity,growth
Fidelity,META,0.2,active_equity,growth
Fidelity,BIIB,0.36,active_equity,growth
Fidelity,LMT,2.57,active_equity,growth
Fidelity,ORCL,1.14,active_equity,growth
Fidelity,BAC,0.17,active_equity,growth
Fidelity,SQ,1.22,active_equity,growth
Fidelity,PFE,0.81,active_equity,growth
Fidelity,DIS,0.43,active_equity,growth
Fidelity,WMT,2.85,active_equity,growth
Fidelity,DHR,0.89,active_equity,growth
Fidelity,COP,0.69,active_equity,growth
Fidelity,LLY,1.72,active_equity,growth
Fidelity,CVX,1.3,active_equity,growth
Fidelity,NKE,2.84,active_equity,growth
