Date,Stock,Tweet,Price
2023-03-15,TSLA,Market sentiment towards TSLA looks excited these days.,111.88185997100378
2023-02-01,MSFT,"Lots of chatter on MSFT today, could this mean breakout?",250.7110413556572
2023-01-23,TSLA,The way TSLA has been performing makes me feel worried.,116.84545196412247
2023-03-21,AMZN,"AMZN stock is drawing attention, traders are bullish.",87.9040288351952
2023-02-23,MSFT,Market sentiment towards MSFT looks excited these days.,255.4070691205143
2023-03-15,AMZN,"I'm bearish on AMZN, price action has been interesting.",93.89707748083532
2023-02-28,TSLA,Analysts believe TSLA could dip after recent news.,113.63286221620928
2023-03-22,MSFT,Analysts believe MSFT could breakout after recent news.,256.9250075615008
2023-02-23,AMZN,Analysts believe AMZN could rise after recent news.,89.65641888629835
2023-01-19,AMZN,Analysts believe AMZN could fall after recent news.,86.26617635749504
2023-01-06,AAPL,"AAPL outlook is excited, according to many investors.",137.58685188434174
2023-02-17,AAPL,"Lots of chatter on AAPL today, could this mean rise?",112.1153304548266
2023-01-25,TSLA,The way TSLA has been performing makes me feel bearish.,112.56845981398098
2023-01-12,GOOGL,"Lots of chatter on GOOGL today, could this mean fall?",87.71777194950126
2023-03-22,GOOGL,"Investors are talking a lot about GOOGL, big moves expected soon!",89.75989832306075
2023-01-24,AAPL,"AAPL outlook is neutral, according to many investors.",138.96122223397512
2023-01-10,MSFT,The way MSFT has been performing makes me feel excited.,255.4070691205143
2023-03-06,GOOGL,Market sentiment towards GOOGL looks worried these days.,92.64791109768308
2023-01-18,AAPL,The way AAPL has been performing makes me feel worried.,138.8150509186731
2023-02-24,TSLA,"TSLA outlook is worried, according to many investors.",113.86768673542504
2023-02-28,TSLA,"Lots of chatter on TSLA today, could this mean rise?",117.26937252857788
2023-01-12,MSFT,Analysts believe MSFT could fall after recent news.,250.4815684727234
2023-03-10,AMZN,"AMZN outlook is worried, according to many investors.",87.35981101659057
2023-02-07,MSFT,"I'm neutral on MSFT, price action has been interesting.",243.2516973040306
2023-01-06,AMZN,"I'm bullish on AMZN, price action has been interesting.",99.46017888956618
2023-02-09,AMZN,"Investors are talking a lot about AMZN, big moves expected soon!",102.99140554903606
2023-02-21,TSLA,Analysts believe TSLA could breakout after recent news.,114.37058262128392
2023-02-22,TSLA,The way TSLA has been performing makes me feel worried.,111.11020743720992
2023-01-11,TSLA,Market sentiment towards TSLA looks worried these days.,112.56845981398098
2023-03-31,GOOGL,The way GOOGL has been performing makes me feel bearish.,88.63862365044015
2023-01-24,AAPL,The way AAPL has been performing makes me feel excited.,111.4414380315412
2023-03-03,AAPL,"I'm neutral on AAPL, price action has been interesting.",118.71118624893776
2023-01-05,GOOGL,"GOOGL outlook is neutral, according to many investors.",88.08394296325406
2023-02-20,TSLA,Market sentiment towards TSLA looks neutral these days.,111.44355272501969
2023-02-13,GOOGL,"GOOGL stock is drawing attention, traders are worried.",88.41417458413825
2023-01-26,MSFT,"MSFT stock is drawing attention, traders are worried.",254.32432759160727
2023-03-27,TSLA,"I'm bearish on TSLA, price action has been interesting.",110.07817504102144
2023-03-16,GOOGL,"I'm bearish on GOOGL, price action has been interesting.",86.2810077483177
2023-02-23,AMZN,"AMZN stock is drawing attention, traders are excited.",96.81313331095652
2023-01-26,AMZN,The way AMZN has been performing makes me feel bullish.,91.38099100541976
2023-02-23,MSFT,"I'm worried on MSFT, price action has been interesting.",252.2763125126309
2023-03-03,TSLA,Analysts believe TSLA could dip after recent news.,110.39484286163304
2023-01-18,AMZN,"I'm bullish on AMZN, price action has been interesting.",89.52899291686128
2023-03-22,AMZN,Market sentiment towards AMZN looks excited these days.,89.09791095488092
2023-01-27,AMZN,Market sentiment towards AMZN looks neutral these days.,88.7885138526433
2023-03-27,MSFT,"MSFT outlook is bullish, according to many investors.",252.34772443328157
2023-02-23,MSFT,"Investors are talking a lot about MSFT, big moves expected soon!",239.3103700989465
2023-01-02,AAPL,"I'm neutral on AAPL, price action has been interesting.",137.58685188434174
2023-01-04,AMZN,"AMZN stock is drawing attention, traders are worried.",88.90708958366359
2023-03-28,GOOGL,Market sentiment towards GOOGL looks excited these days.,86.89961556713949
2023-03-29,MSFT,"I'm bearish on MSFT, price action has been interesting.",256.36604823097264
2023-02-03,GOOGL,The way GOOGL has been performing makes me feel bearish.,89.49577838191351
2023-03-20,AAPL,"AAPL stock is drawing attention, traders are neutral.",138.0343868483502
2023-02-15,AAPL,"AAPL stock is drawing attention, traders are bullish.",109.4462456661918
