"name ","type","priceRange","cuisine","aggregatedRating","reviewCount","directUrl","website"
,"Restaurants","$11-30","Burgers","4.7","81","https://www.yelp.com/biz/tollhouse-market-and-grill-tollhouse",""
,"Restaurants",,"American","3.5","21","https://www.yelp.com/biz/the-point-shaver-lake",""
,"Nightlife",,,"4","31","https://www.yelp.com/biz/the-sawmill-shaver-lake",""
,"Nightlife","$11-30",,"3.9","205","https://www.yelp.com/biz/shaver-lake-pub-n-grub-shaver-lake","http://www.shaverlakepubngrub.com"
,"Restaurants","$11-30","American","4.6","47","https://www.yelp.com/biz/mountain-oaks-cafe-oakhurst",""
,"Arts & Entertainment","$11-30",,"4.6","118","https://www.yelp.com/biz/idle-hour-winery-and-kitchen-oakhurst","http://www.idlehourwinery.com"
,"Restaurants","$11-30","New American","3.8","163","https://www.yelp.com/biz/the-trading-post-shaver-lake","http://www.shavertradingpost.com/"
,"Restaurants","$11-30","American","4.1","1576","https://www.yelp.com/biz/south-gate-brewing-company-oakhurst-4","http://southgatebrewco.com/"
,"Nightlife","$11-30",,"4.3","45","https://www.yelp.com/biz/shorthorn-bar-and-grill-shaver-lake","https://shorthornbarandgrill.com"
,"Food",,,"4.9","53","https://www.yelp.com/biz/matsumoto-samurais-kitchen-oakhurst",""
,"Restaurants","$11-30","Pizza","3.8","368","https://www.yelp.com/biz/shaver-lake-pizza-shaver-lake","https://shaverlakepizza.com"
,"Food","$11-30",,"4.3","52","https://www.yelp.com/biz/mountain-tripper-cafe-and-tea-house-shaver-lake",""
,"Restaurants",,"Cafes","4.8","26","https://www.yelp.com/biz/hot-shot-coffee-shack-north-fork-2",""
,"Restaurants","Above $61","French","4.5","288","https://www.yelp.com/biz/the-elderberry-house-oakhurst-2","https://chateausureau.com/cuisine/"
,"Restaurants","$11-30","Seafood","3.8","633","https://www.yelp.com/biz/duceys-on-the-lake-bass-lake-2","https://www.basslake.com/dining"
,"Restaurants","$11-30","Mexican","4.7","100","https://www.yelp.com/biz/don-fernandos-prather-2","http://www.donfernandos.com"
,"Active Life","$11-30",,"4.3","265","https://www.yelp.com/biz/millers-landing-resort-bass-lake","http://millerslanding.com/"
,"Restaurants","$11-30","Barbeque","4.5","814","https://www.yelp.com/biz/smokehouse-41-oakhurst","http://smokehouse41.com"
,"Restaurants","$11-30","Mexican","3.9","151","https://www.yelp.com/biz/velascos-mexican-restaurant-prather",""
,"Nightlife","$11-30",,"3.8","10","https://www.yelp.com/biz/broken-arrow-bar-and-grill-auberry","http://monowind.com"
,"Restaurants","$11-30","Mexican","4.4","261","https://www.yelp.com/biz/casa-velasco-mexican-restaurant-bass-lake",""
,"Restaurants","$31-60","Cafes","3.5","13","https://www.yelp.com/biz/wagners-mammoth-pool-resort-cafe-north-fork","http://mammothpool.com/store.html"
,"Restaurants",,"Tacos","5","1","https://www.yelp.com/biz/nueva-italia-shaver-lake",""
,"Restaurants",,"Pizza","5","1","https://www.yelp.com/biz/loretzeria-pizza-auberry","https://loretzeriapizza.com"
,"Restaurants",,"Seafood","3.6","12","https://www.yelp.com/biz/buffalo-bar-fish-camp","https://www.narrowgaugeinn.com/dining"
,"Restaurants","Under $10","Delis","3.8","113","https://www.yelp.com/biz/shaver-coffee-and-deli-shaver-lake",""
,"Restaurants","Under $10","Delis","4.2","84","https://www.yelp.com/biz/fish-camp-general-store-fish-camp",""
,"Restaurants","$11-30","New American","4.1","379","https://www.yelp.com/biz/oakhurst-grill-and-whiskey-41-lounge-oakhurst","http://www.OakhurstGrillandWhiskey41.com"
,"Restaurants","$11-30","Burgers","3.4","371","https://www.yelp.com/biz/hungry-hut-shaver-lake","https://www.hungryhutshaver.com"
,"Restaurants",,"Vietnamese","4","55","https://www.yelp.com/biz/pho-d-lite-lexington-park",""
,"Restaurants","$11-30","American","2.8","106","https://www.yelp.com/biz/stoneys-clarkes-landing-hollywood","http://stoneysseafoodhouse.com/clarkeslanding/"
,"Restaurants","$11-30","Sushi Bars","4.1","84","https://www.yelp.com/biz/island-sushi-solomons",""
,"Restaurants","$11-30","Pizza","3.3","152","https://www.yelp.com/biz/nicollettis-pizza-california",""
,"Food","Under $10",,"4.5","14","https://www.yelp.com/biz/ise-da-bye-lusby",""
,"Restaurants","$11-30","Sandwiches","3.5","182","https://www.yelp.com/biz/the-pier-restaurant-solomons","https://thepiersolomons.com"
,"Restaurants","Under $10","American","3.9","41","https://www.yelp.com/biz/buckhorn-saloon-north-fork","http://www.buckhornsaloon.net/"
,"Restaurants","$11-30","Pizza","3.6","42","https://www.yelp.com/biz/pizza-factory-north-fork","http://www.pizzafactory.com/locations/north-fork"
,"Restaurants","$11-30","New American","3.5","2","https://www.yelp.com/biz/village-restaurant-and-bakery-shaver-lake",""
,"Restaurants","$11-30","Mexican","4.7","59","https://www.yelp.com/biz/los-2-carnales-oakhurst",""
,"Restaurants",,"Pizza","4.9","8","https://www.yelp.com/biz/cryptic-pizza-solomons","http://www.crypticpizza.com"
,"Nightlife",,,"3.7","27","https://www.yelp.com/biz/ducey-s-bar-and-grill-bass-lake",""
,"Restaurants","$11-30","Seafood","4","58","https://www.yelp.com/biz/bugeye-grill-solomons","https://www.bugeyegrill.com"
,"Nightlife",,,"2.7","58","https://www.yelp.com/biz/the-greene-turtle-sports-bar-and-grille-california-2","https://thegreeneturtle.com/location/california-md/"
,"Food","$11-30",,"4.2","106","https://www.yelp.com/biz/glow-caf%C3%A9-oakhurst","http://www.glowjuice.net"
,"Restaurants",,"Puerto Rican","4.5","4","https://www.yelp.com/biz/el-coqui-california",""
,"Restaurants",,"Burgers","3.3","57","https://www.yelp.com/biz/marina-bar-and-grill-bass-lake-4",""
,"Restaurants",,"Burgers","4.6","16","https://www.yelp.com/biz/jones-store-bass-lake-2",""
,"Restaurants","$11-30","Chinese","3.8","340","https://www.yelp.com/biz/china-delight-oakhurst",""
,"Hotels & Travel","$11-30",,"3.8","171","https://www.yelp.com/biz/the-forks-resort-bass-lake","http://www.theforksresort.com/"
,"Restaurants","Under $10","Burgers","4.1","470","https://www.yelp.com/biz/petes-place-oakhurst",""
